from,to,relation,year
ba_2022,anros,1,2022
ba_2022,beot,1,2022
ba_2022,bola,1,2022
ba_2022,chfr,1,2022
ba_2022,chma,1,2022
ba_2022,chau,1,2022
ba_2022,chni,1,2022
ba_2022,chru,1,2022
ba_2022,clle,1,2022
ba_2022,elsc,1,2022
ba_2022,emst,1,2022
ba_2022,frte,1,2022
ba_2022,gipa,1,2022
ba_2022,irze,1,2022
ba_2022,jahe,1,2022
ba_2022,jech,1,2022
ba_2022,jofi,1,2022
ba_2022,laho,1,2022
ba_2022,nadl,1,2022
ba_2022,newu,1,2022
ba_2022,subo,1,2022
ba_2022,vape,1,2022
ba_2022,vibo,1,2022
ba_2022,yavo,1,2022
ba,ba_2023,2,2023
ba_2023,daja,1,2023
ba_2023,alch,1,2023
ba_2023,anut,1,2023
ba_2023,chdu,1,2023
ba_2023,cosc,1,2023
ba_2023,dali,1,2023
ba_2023,dahe,1,2023
ba_2023,fibl,1,2023
ba_2023,gila,1,2023
ba_2023,heko,1,2023
ba_2023,jani,1,2023
ba_2023,lela,1,2023
ba_2023,limi,1,2023
ba_2023,liro,1,2023
ba_2023,marut,1,2023
ba_2023,maschr,1,2023
ba_2023,mabe,1,2023
ba_2023,nevi,1,2023
ba_2023,pagh,1,2023
ba_2023,reri,1,2023
ba_2023,sask,1,2023
ba_2023,tane,1,2023
ba_2023,xema,1,2023
ba_2023,yola,1,2023
ba,ba_2024,2,2024
ba_2024,sekl,1,2024
ba_2024,degr,1,2024
ba_2024,anlo,1,2024
ba_2024,anwi,1,2024
ba_2024,anpo,1,2024
ba_2024,biho,1,2024
ba_2024,bray,1,2024
ba_2024,evth,1,2024
ba_2024,faal,1,2024
ba_2024,frth,1,2024
ba_2024,giwa,1,2024
ba_2024,ina,1,2024
ba_2024,jeko,1,2024
ba_2024,jeba,1,2024
ba_2024,kage,1,2024
ba_2024,kiko,1,2024
ba_2024,kihe,1,2024
ba_2024,lasc,1,2024
ba_2024,labo,1,2024
ba_2024,lada,1,2024
ba_2024,laus,1,2024
ba_2024,lavi,1,2024
ba_2024,leoni,1,2024
ba_2024,ligl,1,2024
ba_2024,lisl,1,2024
ba_2024,lako,1,2024
ba_2024,jasm,1,2024
ba_2024,nagu,1,2024
ba_2024,rear,1,2024
ba_2024,sebo,1,2024
ba_2024,vima,1,2024
ba_2024,step,1,2024
pro7_sat1,dn,3,99
dn,dn_2023,2,2023
dn_2023,fapa,1,2023
dn_2023,lego,1,2023
dn_2023,jasi,1,2023
dn_2023,marij,1,2023
dn_2023,ante,1,2023
dn_2023,zosa,1,2023
dn_2023,nalo,1,2023
dn_2023,sari,1,2023
dn_2023,giru,1,2023
dn_2023,deno,1,2023
dn_2023,wiso,1,2023
dn_2023,jaso,1,2023
