from,to,relation ,year,Eindeutige Knoten
hadeb_2022,king,1,2022,deni1
hadeb_2022,mich3,1,2022,rued
hadeb_2022,nadi,1,2022,simo
hadeb_2022,jana,1,2022,thom
hadeb_2022,peter,1,2022,leif
hadeb_2022,oliv,1,2022,lutz
hadeb_2022,christ,1,2022,peter2
hadeb_2022,denni,1,2022,thou
hadeb_2022,markus1,1,2022,björ
hadeb_2022,mort,1,2022,dirk
hadeb_2023,olive,1,2023,enno
hadeb_2023,heik,1,2023,hube
hadeb_2023,robert,1,2023,lara
hadeb_2023,kai,1,2023,math1
hadeb_2023,joch,1,2023,math2
hadeb_2023,kars,1,2023,olaf
hadeb_2023,bian,1,2023,peter1
hadeb_2023,alexand,1,2023,tors
hadeb_2023,marin,1,2023,mike3
hadeb_2023,marina,1,2023,nils
hadeb_2023,mich4,1,2023,logr
hadeb_2023,yasm,1,2023,mich5
rtl,bsf,,0,theo
bsf,bsf_2020,2,2020,christi
bsf,bsf_2021,2,2021,dennis
bsf,bsf_2022,2,2022,erik1
bsf,bsf_2023,2,2023,Gott
bsf,bsf_2024,2,2024,Jörg
bsf_2020,patr,1,2020,Maik
bsf_2020,andy,1,2020,Mario1
bsf_2020,deni1,1,2020,Marti1
bsf_2020,rued,1,2020,Max1
bsf_2020,simo,1,2020,Mich6
bsf_2020,thom,1,2020,steffe
bsf_2020,leif,1,2020,tade
bsf_2020,lutz,1,2020,ulf
bsf_2020,peter2,1,2020,arne
bsf_2020,thou,1,2021,andre1
bsf_2021,björ,1,2021,christo
bsf_2021,dirk,1,2021,daniel
bsf_2021,enno,1,2021,dibe
bsf_2021,hube,1,2021,hann
bsf_2021,lara,1,2021,hans
bsf_2021,math1,1,2021,sieg
bsf_2021,math2,1,2021,stefa
bsf_2021,olaf,1,2021,steff
bsf_2021,peter1,1,2021,steph
bsf_2021,tors,1,2021,caro
bsf_2021,mike3,1,2021,hein
bsf_2021,nils,1,2021,saski
bsf_2022,logr,1,2022,max
bsf_2022,mich5,1,2022,andre
bsf_2022,theo,1,2022,andr
bsf_2022,christi,1,2022,heino
bsf_2022,dennis,1,2022,jenni
bsf_2022,erik1,1,2022,konr
bsf_2022,Gott,1,2022,manf
bsf_2022,Jörg,1,2022,marc1
bsf_2022,Maik,1,2022,marti
bsf_2022,Mario1,1,2022,marv
bsf_2022,Marti1,1,2022,paul
bsf_2022,Max1,1,2022,yann
bsf_2022,Mich6,1,2022,aula
bsf_2022,steffe,1,2022,sava
bsf_2022,tade,1,2022,gegr
bsf_2022,ulf,1,2022,meho
bsf_2022,arne,1,2022,piju
bsf_2023,andre1,1,2023,nami
bsf_2023,christo,1,2023,luwe
bsf_2023,daniel,1,2023,hest
bsf_2023,dibe,1,2023,tiku
bsf_2023,hann,1,2023,muur
bsf_2023,hans,1,2023,nebu
bsf_2023,patr,1,2023,mici
bsf_2023,sieg,1,2023,jojae
bsf_2023,stefa,1,2023,gieh
bsf_2023,steff,1,2023,maba
bsf_2023,steph,1,2023,lauma
bsf_2023,caro,1,2023,memo
bsf_2024,hein,1,2024,jusc
bsf_2024,saski,1,2024,kezo
bsf_2024,max,1,2024,mepe
bsf_2024,andre,1,2024,chme
bsf_2024,andr,1,2024,ansa
bsf_2024,heino,1,2024,biba
bsf_2024,jenni,1,2024,fabio
bsf_2024,konr,1,2024,gren
bsf_2024,manf,1,2024,iskr
bsf_2024,marc1,1,2024,juwu
bsf_2024,marti,1,2024,liga
bsf_2024,marv,1,2024,nimo
bsf_2024,paul,1,2024,sina
bsf_2024,yann,1,2024,admo
rtl,lois,3,0,jann
lois,lois_2020,2,2020,kaan
lois,lois_2021,2,2021,madz
lois,lois_2022,2,2022,nimu
lois,lois_2023,2,2023,pahe
lois,lois_2024,2,2024,rowi
lois_2020,anif,1,2020,yaci
lois_2020,aula,1,2020,adsa
lois_2020,sava,1,2020,boba
lois_2020,gegr,1,2020,buyo
lois_2020,meho,1,2020,caak
lois_2020,piju,1,2020,chje
lois_2020,nami,1,2020,cind
lois_2020,luwe,1,2020,dama
lois_2020,jogu,1,2020,inpe
lois_2020,hest,1,2020,jebu
lois_2020,mazi,1,2020,jennif
lois_2020,tiku,1,2020,jede
lois_2020,muur,1,2020,labar
lois_2020,nebu,1,2020,lehe
lois_2020,topi,1,2020,lewe
lois_2020,mici,1,2020,maam
lois_2020,jojae,1,2020,mabru
lois_2020,gieh,1,2020,sasc
lois_2020,maba,1,2020,saha
lois_2020,lauma,1,2020,tosc
lois_2020,memo,1,2020,valea
lois_2020,jusc,1,2020,vakl
lois_2020,kezo,1,2020,fabi1
lois_2020,mepe,1,2020,lezi
lois_2020,chme,1,2020,hamo
lois_2021,ansa,1,2021,ray
lois_2021,biba,1,2021,daniel2
lois_2021,fabio,1,2021,derr
lois_2021,gren,1,2021,robert1
lois_2021,iskr,1,2021,anzo
lois_2021,juwu,1,2021,lean
lois_2021,liga,1,2021,deni
lois_2021,meho,1,2021,evma
lois_2021,nimo,1,2021,lale
lois_2021,sina,1,2021,alwic
lois_2021,admo,1,2021,jenny
lois_2021,defe,1,2021,vanw
lois_2021,jann,1,2021,celi
lois_2021,kaan,1,2021,jean
lois_2021,madz,1,2021,luci
lois_2021,nimu,1,2021,vawe
lois_2021,pahe,1,2021,mira
lois_2021,rowi,1,2021,sahe
lois_2021,tiku,1,2021,trca
lois_2021,yaci,1,2021,yeko
